TeamName,ADJOE,ADJDE,BARTHAG,Record,Wins,Games Played,EFG%,EFGD%,FTR,FTRD,TOR,TORD,ORB,DRB,,2P%,2P%D,3P%,3P%D,,,,,3PR,3PRD,ADJ T.,,,,,,,,WAB,,
Hawaii,91.325243972204,90.70329932654,0.51963624084465,18–14,18,32,45.9,44.4,30.9,29.2,22.9,21.5,28.4,27.6,65.1,46.7,44.9,29.8,29,6.6,8.2,56,50.2,41.5,36.8,66.6,,,,2023,,,,-9.6862679771606,71,69.3
"San Diego",94.705705110967,90.042914298619,0.64120784548773,16–13,16,29,41.5,47.3,32.8,33.2,20.3,24.4,35.6,30.2,66.5,42.2,44.4,25.9,36.4,8.7,6.1,54.4,54,20.4,27.9,66.9,,,,2023,,,,-7.8957959040377,71.4,68.1
"UC Davis",93.387108767779,93.895648574644,0.48439172378651,14–14,14,28,47.5,44.3,23.3,35.6,22.5,20.1,27,26.5,67.6,47.3,40.9,31.8,34.7,8.8,7.1,57.3,48.5,44.2,30.5,69.4,,,,2023,,,,-10.808145166912,68.4,74.9
LSU,118.52524928964,77.647122034899,0.99233915428616,28–2,28,30,51.3,40.1,37.9,25.6,19.6,24.1,46.1,25.9,73,50.6,39.9,35.9,26.9,13,7.2,49.6,48.4,23,33.3,72.9,,,,2023,,,,7.9513894816089,69.9,65.6
"St. Francis NY",79.603020692524,101.08250719803,0.060246222632882,10–19,10,29,42.6,46.2,29.8,22.4,25.8,19.8,30.3,31.8,66.7,41.9,43.1,29.3,34.6,5.5,7.5,52.2,58.4,33.2,34.6,67.6,,,,2023,,,,-17.293744488816,67.5,66.9
"Fresno St.",90.496432490354,95.946135789924,0.33794175813735,8–22,8,30,43.6,49.2,30.3,27.1,23.3,21.5,29.4,27.9,64.3,43,49.2,29.8,32.8,6.2,7.8,43.9,51.8,33.1,29.4,64.5,,,,2023,,,,-18.10414388766,74.9,74.2
UMKC,84.69647282023,100.83604824983,0.11858981624072,7–23,7,30,42.4,49.2,26.7,27.9,24.8,19.4,33.9,31.9,71.1,41.2,50.6,31,31.1,10.9,6.8,48.1,63.7,22.4,35.9,70,,,,2023,,,,-20.059666551635,72.4,72.3
Baylor,105.48677052177,79.177036939798,0.96440620042142,19–12,19,31,48,43.4,26.5,26.2,21,23.6,32.4,28.2,72.2,48.5,43.7,31.4,28.6,7.5,8.8,64,54.1,33.2,33.5,71.4,,,,2023,,,,1.7600231598854,68.3,72
"Oral Roberts",94.784108338291,100.51499069594,0.33735383327077,11–19,11,30,47.4,50.7,28.6,32,20.6,20.8,25.9,32,80.8,47.7,50.5,31.3,34.1,8.7,7.9,45.6,55.9,35.2,34.5,80.2,,,,2023,,,,-13.277919847019,74.3,73.8
Ohio,87.706351443614,99.851646058066,0.18370432539903,6–23,6,29,45.8,48.2,27.3,31.5,23.7,21.5,22.6,36.3,71.3,47.2,48,29.5,32.3,7,8.2,54.7,58.2,46,42.3,70.6,,,,2023,,,,-19.246845162897,74.9,74.4
Winthrop,75.645841916856,103.78066144168,0.025668238426316,7–22,7,29,41.3,46.8,28.5,23.9,28.6,26.4,30.9,37,65.6,41.4,44.8,27.4,33.3,6.6,6.7,44.9,61.6,26.5,38.7,65.5,,,,2023,,,,-20.876265689175,65.7,67.5
"Northern Illinois",98.705899296799,100.88489587684,0.43755071850753,16–14,16,30,48,50.5,25,25,20,19.5,33.4,27.3,69.1,45.6,50.4,34.5,33.7,3,8.4,52,55.2,38.8,38.4,68.1,,,,2023,,,,-10.348088977706,73.7,71.1
"Georgia Tech",97.001461293086,83.528314539574,0.84809203078601,13–17,13,30,41.5,43.6,27.8,26.8,22,22.2,33.2,34.1,68.1,41.4,44,27.7,28.3,5.5,6.6,54.4,50.6,26.4,27.7,67.5,,,,2023,,,,-4.5359490919779,74.9,69.1
"Kent St.",100.1537323922,91.383931222053,0.74150810388683,19–10,19,29,48.1,45.5,26.4,29.7,18.8,20.1,27.2,28.6,67.7,45.6,45.1,34.5,30.9,8.8,7.9,50,46.7,40.5,31.6,67.2,,,,2023,,,,-5.4192336627374,77,73.5
"High Point",90.661982448945,97.750323002499,0.29614951741413,15–14,15,29,50.4,45.8,25.9,29.2,21,24.2,21.6,30.9,68.6,50.8,47.4,33.2,28.1,5.9,6.9,62.1,47,44,30.4,68.6,,,,2023,,,,-11.893545706703,68,66.7
"Weber St.",79.765061926453,95.530611129969,0.11163449665747,6–25,6,31,39.4,45.1,37.9,40.4,25.1,20.7,25.2,27.2,70.5,39.3,45.2,26.4,29.9,7.4,9.4,50.4,51.3,27,36.7,70.7,,,,2023,,,,-22.136502560849,73.7,75.6
Maine,91.94387459467,97.331439305234,0.3418968037859,16–14,16,30,47.9,45.5,19,26.3,23.2,20.3,30.1,28.8,64,46.8,47.7,33.3,26.1,6.8,7,57.5,50.1,36.6,25.3,64.9,,,,2023,,,,-10.1341362536,72.6,73.8
"Sam Houston St.",91.781724021947,95.576310785316,0.38559050126461,11–17,11,28,41.2,49.1,31.2,30.6,22.7,23.5,38,31.7,71.7,39,47.5,31.3,36.3,6.9,9.1,47,54.6,27.6,23.9,71.6,,,,2023,,,,-13.516169006506,67,70.4
"Incarnate Word",87.084030704471,101.80561930563,0.14231359942112,11–14,11,25,45.2,45.8,28.7,34.2,21.4,24.8,25.2,36.4,63.7,41.4,45.2,34.4,31.5,4.8,7.5,55.7,59.6,37.2,30.7,63.8,,,,2023,,,,-11.810133068164,67.7,70.3
SMU,92.848082814461,82.455323442713,0.79659418644357,16–12,16,28,44.4,42.5,26.1,25.3,23.1,23.2,33.6,28.4,69,45.1,40.5,28,31.2,9.7,11,60.6,58.6,22.9,32.1,68.1,,,,2023,,,,-5.8435633477975,69.9,66.9
Richmond,96.533386360668,87.471935378147,0.75649630914924,20–10,20,30,51.6,42.6,26.5,20.3,21.9,20.5,24.4,28.5,69.8,51,41.8,35,29.1,11.3,8.4,57.3,58.1,41.2,40.5,69.8,,,,2023,,,,-5.7508755087378,73.5,69.6
Providence,92.19817179561,87.762455394273,0.63807638886843,13–19,13,32,44.1,47,26.8,16.2,21.1,19.5,27.2,24.5,68.5,42.5,45.6,32.7,33,9.4,7.7,47.7,58.1,24.3,36.6,68.8,,,,2023,,,,-8.8323870766039,65.9,72.4
Louisville,111.11293077947,82.092144122056,0.97014533159206,23–11,23,34,49.3,44.9,27.6,30.6,21.5,24.5,35.7,29.2,70.5,48.4,42.7,34.6,33.2,9.4,4.7,55.4,53.1,26.3,30.6,69.6,,,,2023,,,,4.1030424035318,75.3,72.3
Davidson,96.667399890984,96.809049145275,0.49579037078261,14–16,14,30,48.4,49.7,22.3,30.1,22.9,23.2,30.2,30.6,65.2,48.6,49.2,32,33.8,7.8,6.5,48.7,50.6,35.2,32.2,65.9,,,,2023,,,,-10.824317819722,73.2,70.6
"North Florida",79.431688493268,100.92579550142,0.059854735473218,5–20,5,25,42,50.9,21.2,26.4,26.5,20.3,27.3,30.1,71.6,40.7,48.8,29.5,36.5,6.8,10.3,49,53.4,37.4,35.2,71.7,,,,2023,,,,-16.85314070192,61.4,69.5
"Missouri St.",95.775926751762,89.030097825812,0.69844922608431,20–11,20,31,44,46.6,30.9,35.2,21.9,22.2,40.2,25.6,70.6,44.1,46.7,29.2,30.9,7,6.5,57.2,48.8,22.6,28.1,70.7,,,,2023,,,,-5.3282929912729,64.8,72.8
Vanderbilt,102.36413040289,94.235197958589,0.7214247566812,12–19,12,31,46.6,50.6,32.1,31.4,21.3,24.2,29.4,37.2,69.9,44.1,51.3,34.4,32.7,7.4,11,52.2,56.4,33.3,32.1,69.6,,,,2023,,,,-6.7812563177504,74.2,67.6
"Washington St.",104.9447107227,81.940111864909,0.9450917089098,23–10,23,33,48.9,42.4,25,25.5,22,21.8,31.9,31.4,67.7,48.5,41.2,33.2,30.2,10.7,6.2,60,47.1,33.9,29.3,67.4,,,,2023,,,,4.5313516064041,73.2,74.1
Akron,91.179265862103,94.847862891473,0.38849653359089,15–13,15,28,48,45.1,33.1,22,22,18.3,22.9,28.1,71.1,49.1,46,30.8,28.8,9.6,7,64.8,57.2,36.8,33.5,71,,,,2023,,,,-10.288550445686,76.9,74.5
"Bowling Green",98.718934030598,86.584459832189,0.81880894029613,26–6,26,32,48.8,49.5,26,31.8,17.1,29.2,31.4,25.4,73.5,48.2,49.6,33.4,32.8,6.3,8.6,58.9,54.7,32.7,36.4,73.8,,,,2023,,,,-2.3491020345601,72.1,70.3
Memphis,97.530125489652,85.250542405207,0.82455504528302,20–10,20,30,42.3,42.3,34.4,30.3,20.6,22.9,40.3,28.5,69.7,41.3,42.7,29.9,27.6,8.5,9.3,42.2,58.5,27,28.9,68.9,,,,2023,,,,-3.1174810508405,64.9,69
"Central Arkansas",77.70572666984,96.709942497811,0.074740407044786,6–18,6,24,38.4,47,29.7,28.2,25.8,21.8,29.9,32.1,64.6,39,45.8,23.9,32.7,5.8,7.4,39.4,57.2,20.3,36.1,64.2,,,,2023,,,,-15.247300241587,64.1,69
"Murray St.",100.67360386941,95.145187033071,0.65690132712108,14–16,14,30,49.2,48.2,27.6,21.3,21.1,19,30.2,26.8,67.5,47.1,47.5,35.3,33,4.5,10.7,63.3,57.8,36.8,33.2,67.4,,,,2023,,,,-11.484143121824,78.4,70.3
American,80.987135690776,97.403924434695,0.10691706093703,9–22,9,31,43.4,47.1,24.9,31.2,26,24.1,25,33.1,70.9,44.7,48.6,26.6,29.5,4.3,6.7,59.1,51.8,26,33.4,71.8,,,,2023,,,,-18.449451385362,72.9,71.6
"Notre Dame",110.28112538319,76.5875203706,0.98512203750956,25–5,25,30,49.8,40.1,35.1,22.5,21.8,21.4,38.3,27.3,71.3,50.5,39.2,31.7,28.4,10.7,7.9,60.1,51.7,24.3,28.2,70.3,,,,2023,,,,7.5454491634485,71.2,69.8
Creighton,113.54187541284,83.41876323653,0.97195317519616,22–8,22,30,52.8,44.5,19.9,24.2,17.6,18.9,27.3,25.5,66.5,51.3,45.6,36.5,28,6.9,7.1,64.9,55.8,43.5,30.1,66.7,,,,2023,,,,4.0730999810943,74.7,76.5
Duke,100.10500064527,69.018160006348,0.98629608183103,25–6,25,31,45.5,39,26.1,26.9,22.6,27.1,34.7,25.9,67.5,44.8,37.5,31.7,28.4,14.1,6,57.4,45.1,26.1,29.5,67.1,,,,2023,,,,8.1552772723412,71,72
"Indiana St.",89.222387895742,94.207631291829,0.3485893276212,11–19,11,30,45.3,48.7,30,34.9,23,23.6,30.3,28.4,70.7,44,48.6,32,32.5,7.7,9.2,53.9,60.6,31.3,40.7,70.4,,,,2023,,,,-15.455610719715,70,67.8
UCLA,110.02658342223,81.666755175363,0.96856405031602,25–9,25,34,44.7,43.1,25.7,33.7,19.1,22.2,38.5,28.1,68.7,44.1,40.8,30.6,32.6,10.5,9.9,57.8,52.7,34.6,28.4,69.1,,,,2023,,,,6.0902812448382,77.5,74.6
Pacific,93.356583210407,90.365048198768,0.592555922853,14–17,14,31,44,48,28.2,28.5,22.8,22.9,32.2,28.8,74.6,42.5,45.9,32.2,34.5,5.8,7.4,48.8,56,26.5,35.1,75.8,,,,2023,,,,-11.580592005186,74.8,70.4
"Texas A&M",92.604106882144,84.559613385501,0.73982944874692,9–20,9,29,43.2,44.8,28.2,34,26.5,22,30.4,33.1,68.3,42.9,44.6,29.2,30.4,8.3,7.8,56.4,53.8,30.4,27.5,68.1,,,,2023,,,,-6.7768412009451,64.5,69.1
