TeamName,ADJOE,ADJDE,BARTHAG,Record,Wins,Games Played,EFG%,EFGD%,FTR,FTRD,TOR,TORD,ORB,DRB,,2P%,2P%D,3P%,3P%D,,,,,3PR,3PRD,ADJ T.,,,,,,,,WAB,,
"High Point",93.409197324098,100.34576691443,0.3049642130478,0–1,0,1,46,54.8,28,46.8,29.7,18.9,11.4,45.5,74,53.3,64.6,28.6,14.3,2.1,6.7,55.6,33.3,70,22.6,72.3,,,,2025,,,,-0.12559039279123,57.1,72.4
"Weber St.",72.801977705038,96.945479040839,0.035789167330512,0–1,0,1,41,60.8,16,12.3,35.9,24.8,21.2,43.8,72.5,50,58.8,16.7,41.9,8.8,3.1,36.8,69.7,36,47.7,71.8,,,,2025,,,,-0.21065124538831,62.5,87.5
Maine,106.44620524139,106.03012651205,0.51125796637427,0–1,0,1,51,62.3,3.9,22.8,26.5,14.9,29.6,37.9,60.3,45.2,54.3,40,50,0,29,72.7,83.3,39.2,38.6,61.1,,,,2025,,,,-0.19334831705266,50,53.8
Radford,69.729602529691,86.746332316064,0.075078351282452,0–1,0,1,26.7,45.7,41.9,50,43.2,14,18.2,43.9,78.7,26.9,52,17.6,20,4,23.1,50,40,39.5,28.6,78.9,,,,2025,,,,-0.056266396039446,72.2,71.4
"Incarnate Word",76.50033798318,86.491175573549,0.19598289112521,0–2,0,2,32.4,56.5,13.3,23.6,30.3,20.2,20,41.7,69,32.9,64.7,20.7,30.9,2.9,17.1,54.8,68.9,27.6,44.7,69.5,,,,2025,,,,-0.18140217853949,57.1,93.1
SMU,95.345526398644,86.193767203627,0.76141624575852,0–6,0,6,39.1,49,18.3,27.7,21.7,17.5,28.1,35.9,72.3,38.6,49.2,27,32.4,7,10.1,53,60.8,30.1,34.5,69.8,,,,2025,,,,-1.1026704287182,61.4,72.5
Richmond,109.48945833333,86.38625,0.93851451386837,1–3,1,4,50.7,50,26.8,18.8,26.8,16.4,29.2,29.9,67.2,55.7,53.1,30.3,29.5,5.6,11.3,65.2,46.4,48.3,35.2,64.8,,,,2025,,,,0.27118621027071,69.1,74.5
Providence,92.500749122807,84.358360818713,0.74262220393363,0–3,0,3,41.7,51.1,30.2,23.1,32.1,13.1,25.8,28.7,66.4,49.4,50,20.7,35,6.6,7.4,53.8,66.7,41.7,43,66.6,,,,2025,,,,-0.28455086340685,73.8,76.7
Louisville,107.93347958533,79.755091706539,0.97009525210247,2–9,2,11,38.7,51.5,25.7,29,21.4,26.1,34.5,36.8,72.4,36.6,52.7,29.1,32.7,3.9,9.8,52.4,52.2,29.5,33.2,69.7,,,,2025,,,,0.65856159378406,72.4,74.9
Davidson,103.81916666667,71.462166666667,0.98654751925166,0–1,0,1,42.2,35.7,6.3,33.3,20.2,14,34.1,35.4,64.5,36.4,34.6,32.3,27.3,9.6,15.2,31.8,9.5,48.4,17.5,62.6,,,,2025,,,,-0.11123633197608,75,66.7
