TeamName,ADJOE,ADJDE,BARTHAG,Record,Wins,Games Played,EFG%,EFGD%,FTR,FTRD,TOR,TORD,ORB,DRB,,2P%,2P%D,3P%,3P%D,,,,,3PR,3PRD,ADJ T.,,,,,,,,WAB,,
"High Point",108.75934058012,107.99658407982,0.52022309349989,18–10,18,28,52.1,52.3,35.2,33.4,15.9,20.9,32,31.4,66.7,50.3,52.4,38.1,34.8,8,8.1,54,45.2,26.3,38.6,67,,,,2016,,,,-5.556086982125,76.3,70.8
"Weber St.",102.88389268184,99.638430970422,0.59112336885688,23–8,23,31,54.9,47.2,46.6,28.8,19.7,15.5,26,25.2,68.5,55.5,45.1,36,35.2,7.6,4.8,52.1,41.3,42.1,27.4,67.9,,,,2016,,,,-3.5017752161562,67.7,66.9
Maine,94.992128095655,113.2887683265,0.11653303995044,8–22,8,30,49.2,55.5,32,38,20.8,21,27.9,32.3,77.8,48.3,55.6,33.9,36.9,7,11.5,52.5,57.3,35.3,31.5,77.8,,,,2016,,,,-17.191152825678,65.6,72.7
"Sam Houston St.",100.52982885827,105.79203166383,0.35738361101137,15–14,15,29,49.1,51.6,36.6,45.5,16.6,18.7,28.8,23.9,68.9,47.7,50.9,34.3,35.1,4.9,9.2,63.8,61.8,38.6,38.5,67.9,,,,2016,,,,-8.7649878157228,68.5,71.1
"Incarnate Word",99.498366984406,109.46437235197,0.25015874546578,14–11,14,25,49.9,52.9,35.5,38.1,17.8,18.2,22.5,28.8,69.5,44.7,52.4,38.9,35.9,6.3,12.6,59.2,55.1,38.2,34.1,68.3,,,,2016,,,,-6.1596781142643,77.1,67
SMU,117.96525178772,97.612818003848,0.89824590620558,25–5,25,30,55.3,46.6,33.8,30.4,18.8,18.3,41.2,28.5,66.1,52.5,44.6,42,33.1,13.5,9.3,61.5,55.9,26.8,40,66.6,,,,2016,,,,3.7237557308819,70,63.7
Richmond,113.38715445652,104.22735611116,0.72485731442421,16–16,16,32,54.7,50.9,35.2,36.1,14.7,18.2,23.2,31.7,68.9,55.4,49.4,35.6,36,5.9,7.4,59.7,50.9,36.5,32.4,69.2,,,,2016,,,,-5.3997954581985,66.1,70.4
Providence,108.94643583601,95.10583142994,0.82670602002986,23–10,23,33,48.1,48.8,37.7,27.8,16.3,20.7,30.9,30.2,69.8,48.1,49.2,32.1,32.1,9.2,8.8,63,51.2,36.9,33.6,69.5,,,,2016,,,,3.3480570716501,72.7,71.7
Louisville,112.1537660979,89.473704472179,0.9307424048176,23–8,23,31,51.9,44.7,31.8,40.5,17.1,21.6,38.5,29.2,66.4,51.9,42.8,34.7,32.1,14.2,6.9,48.4,51.5,29,35.3,67.2,,,,2016,,,,4.2970327719317,69,68.8
Davidson,113.10113897913,106.34888814422,0.66993911931996,19–12,19,31,52,52.1,32.8,30.4,14.1,15.8,25.2,30.7,71.1,51.3,52.2,35.3,34.6,7.8,9.6,54.9,48.3,43.9,35,71.3,,,,2016,,,,-1.9695458520039,76.2,69.8
"St. Bonaventure",112.89584417303,102.98762396095,0.74199309841259,22–8,22,30,51.6,49.5,37.8,37.8,16.5,18.9,31,33,69.2,48.6,50.5,37.7,31.9,11.8,8.2,51.9,56.2,37.2,37.9,68.9,,,,2016,,,,0.019475041387934,77.2,69.4
"North Florida",114.92873630748,112.22827255951,0.56793698650227,19–11,19,30,58.1,51.4,28.9,27.1,14.9,14.4,24.3,33.7,71.7,54.8,51.8,41,33.7,10,8.2,54.9,48.4,48.5,26.1,71.1,,,,2016,,,,-5.0293603823962,72.3,66.9
"Missouri St.",100.0255346705,104.77284003061,0.36976050185372,12–19,12,31,46.1,51.5,39.3,34.1,18.6,17.6,28,28.1,68.9,45.3,49.1,32,37.2,11,6.7,52.1,57.2,29.4,35.1,69.8,,,,2016,,,,-10.510273743748,67.8,70.3
Vanderbilt,114.57788637885,92.792643660292,0.91872928407171,19–13,19,32,53.5,43.1,39.5,34.2,16.8,14.3,27.4,29.4,69.2,50.5,42.7,38.8,29.2,12.9,8.8,56.8,43.4,38.1,30.5,68.6,,,,2016,,,,-0.37663728334518,69.9,67.4
"Washington St.",102.18696066814,103.74082242306,0.45672019227384,8–22,8,30,50.7,49.9,31.1,37.5,19.7,14.7,23.9,29.6,70.5,50.3,48.2,34.6,35.9,10.2,7.8,52.8,45.6,30.3,31,69.7,,,,2016,,,,-10.300283118545,71.4,73.5
Akron,109.25033230006,100.30245143861,0.72764263755454,25–8,25,33,53.2,47,30.7,32.3,15.7,16.7,28.5,30,69.1,47.9,47.8,38.9,30.3,9.6,8,56,45.8,50.6,32.9,68.4,,,,2016,,,,-1.2034773477711,69,67.6
"Bowling Green",99.281036429945,105.23208075811,0.33861851162136,14–18,14,32,48.9,50.9,40.2,35.9,18.5,17.1,28.1,28.4,69.3,47.2,47.3,35.4,37.9,9,7.9,45.5,44.1,29,37.3,69.3,,,,2016,,,,-11.731919807796,65.8,69.5
Memphis,105.53513575801,96.350026000554,0.74022669572797,19–15,19,34,46.1,44.9,41.9,38.4,16.4,18.9,32.4,29.6,73.6,45.1,44.6,32.4,30.5,13.3,10.9,58.3,52.2,29.9,32.3,74.4,,,,2016,,,,-5.5076552134394,72.2,67.9
"Central Arkansas",99.580297626042,116.90497377434,0.13651211816314,7–21,7,28,49.9,53.8,41.9,38.7,19.7,15.8,31.3,29.8,73.8,47.4,51.5,37.2,38.7,9.4,9.8,50.4,54.6,30,35.7,72.9,,,,2016,,,,-15.806599039376,65.9,72.2
"Murray St.",105.59453043752,104.52970960566,0.52910587584613,15–14,15,29,51.6,52.2,34.1,40.8,17.8,19.2,28.7,26.2,64.8,50.1,51.1,36.1,36.1,5.7,6.6,57,51,37.2,33.8,65.3,,,,2016,,,,-8.7950406070438,71.5,71
American,90.810162848897,107.02042581305,0.13137475412516,12–19,12,31,49,51.6,31.7,40.1,22.1,19.2,23.5,30.2,62,47.7,53.7,34.1,31.1,6.3,8.2,55.2,49.3,38.5,30.2,62.2,,,,2016,,,,-13.840581687154,69.6,66.7
"Notre Dame",118.4240295024,103.47929226497,0.82510885359047,21–11,21,32,53.5,49.2,33.2,26.9,14.8,14.8,32.8,31.3,65.4,52.5,45.5,36.9,37.6,9.9,8.2,49.6,52.1,34.5,34.2,65.9,,,,2016,,,,2.322036708923,73.5,72
Creighton,112.41102410064,97.627998881173,0.83499822758261,18–14,18,32,53.7,49.7,37.4,33.3,15.9,17.5,26.6,26.2,72.2,54.3,48.2,35.2,35.2,7.8,8.4,55,50.8,39.1,33,71.3,,,,2016,,,,-1.8538457523413,70.2,69
Duke,121.52077958461,98.46124675458,0.91832892425364,23–10,23,33,53.7,49.4,40.2,25.4,14.3,17.7,34,34.5,68.4,50.7,48.9,38.7,33.9,9.5,9.6,49.2,52.5,40.1,29,68.8,,,,2016,,,,4.211124952723,72.2,68.4
"Indiana St.",98.09137986899,98.531439026368,0.48713381385756,14–17,14,31,44.7,47.2,41.5,43.9,18.6,17.8,27.3,25.8,70,44.7,46.5,29.9,32.4,7,9.7,47.2,47,38,33,71.2,,,,2016,,,,-8.7290103646679,69.7,69.3
UCLA,111.88532255147,99.983985388478,0.78471211066846,15–17,15,32,50.3,49.7,32.3,33.9,16.9,16.1,32.8,30.4,71.6,48.8,47.6,36.3,35.4,8.8,6.7,54.9,53.7,27.3,37.8,70.4,,,,2016,,,,-3.8380436671861,69.1,68.9
Pacific,100.35270113612,104.6155626637,0.38262639682612,6–20,6,26,49,50.1,38.4,49.3,19.8,16.5,28.5,29.6,67.8,49.3,47.2,32.2,36.6,7,9.6,51.1,53.9,36.9,36.7,67.6,,,,2016,,,,-12.587087875131,67.3,70.4
"Texas A&M",113.67294899835,92.181460892172,0.91758772896716,26–8,26,34,51.4,47.1,37.5,32.4,17.2,20.9,35,30,68.3,50.7,45.6,35,32.9,11,9.3,63.4,56.2,37,39.5,68.1,,,,2016,,,,5.1452022298122,67.3,65.7
"North Texas",100.35900847305,111.07187572316,0.23751133230363,10–20,10,30,49.3,53.3,44.1,42.5,19.5,17.2,30.3,31.2,70.8,49.8,52.7,32.2,36.2,7.9,9.5,43,49.9,31.1,34.4,70.7,,,,2016,,,,-14.514026669105,65.1,70
Nevada,98.553257512127,96.623457407485,0.55661091340784,17–13,17,30,44.1,45.3,40.5,42.6,17.8,17.9,30.7,30.3,72.1,45.7,44.3,26.8,31.6,13.9,7.4,46.1,54.2,28.8,34.7,72.2,,,,2016,,,,-5.0049747730661,72.9,67.8
UTSA,96.719058839158,115.99413559914,0.11008380750683,4–26,4,30,47,59,37.4,46.2,18.1,17.2,26,27.8,72.8,46.5,57.2,32.1,41.3,6.8,13.3,46.3,58.6,36.4,37,73.1,,,,2016,,,,-20.315527930464,70.1,67.4
Hartford,98.936083873225,114.32071831096,0.15947512196539,9–23,9,32,49.1,53.3,33.2,41.1,16.3,18.5,18.9,35.8,70.1,45.6,54,35.4,34.7,4.9,10.9,51.4,54.9,46.6,34.3,70.2,,,,2016,,,,-17.468288902756,74.8,65.3
"Mississippi Valley St.",90.467082052073,110.85629815376,0.08807571994014,8–27,8,35,43,51,31.3,35.2,18.5,19.4,27.1,34.6,71.4,42,54.5,30.3,30.3,6.2,9.6,45.2,52,27.7,38.3,72.2,,,,2016,,,,-21.336701914082,69.3,67.1
"Gardner Webb",99.258707956951,105.73233959201,0.32594496464307,14–16,14,30,47.7,51.4,34.9,39.7,18.6,18.8,31.6,29.3,69.8,46,51.1,33.5,34.7,8.5,8.9,47.9,52,40,37.3,70.1,,,,2016,,,,-10.169147669784,65.4,71.4
"Norfolk St.",105.04175730082,112.33318328995,0.31609407805209,15–16,15,31,49.1,49.9,42.2,43.2,17.7,19.3,32.2,34.2,68.4,46.8,46.1,35.4,37.5,14.3,10.5,51.1,58.7,37.2,37.5,68.4,,,,2016,,,,-10.788927710011,78.1,72.1
