TeamName,ADJOE,ADJDE,BARTHAG,Record,Wins,Games Played,EFG%,EFGD%,FTR,FTRD,TOR,TORD,ORB,DRB,,2P%,2P%D,3P%,3P%D,,,,,3PR,3PRD,ADJ T.,,,,,,,,WAB,,
"Oral Roberts",119.42275,109.40016666667,0.73264012296114,0–2,0,2,55.7,41.8,16.7,34,12.6,10.2,20,52.1,63.5,46,45.6,42.2,23.5,15.6,14,54,50.9,56.1,36.2,64.7,,,,2024,,,,-0.64468862724495,78.9,79.2
Winthrop,92.369256750555,99.569125919696,0.29667825750274,0–1,0,1,39.4,54,34.6,19.4,20.6,14.7,17.1,29.4,68.1,38.2,46.7,27.8,40.6,0,17.6,33.3,77.8,34.6,51.6,69.5,,,,2024,,,,-0.26056807211485,83.3,91.7
"Northern Illinois",111.31836075811,114.47803685552,0.4202198580155,0–2,0,2,47.2,63.4,22,30.1,17.9,11.5,30.9,31,69.7,47,64.6,31.8,40.9,10.1,2.4,43.4,60.9,34.6,35.8,70.8,,,,2024,,,,-0.52794818362775,60.7,67.6
"Georgia Tech",117.29718139466,99.379006238474,0.87060888950644,4–3,4,7,55.4,46.7,27.6,37.8,20.1,9.6,24.8,32.2,68.1,50.2,46.9,41.7,31,15.4,9.6,48.6,50.8,41.6,36.5,68.1,,,,2024,,,,1.7092725252832,77.8,71.8
"Kent St.",80.829581903593,91.272547929106,0.19823996867815,0–1,0,1,33,57.5,17.9,17,16.9,26.1,15.4,38.5,65,34.1,74.2,20,22.7,0,9.8,35.3,67.9,26.8,41.5,70.4,,,,2024,,,,-0.22899195925997,90,55.6
"Weber St.",97.606416666667,89.62575,0.72729797357618,1–1,1,2,46.8,54.8,20.2,27.9,18.3,19.8,17.2,24.1,65.6,46.9,65.5,31.1,28.6,0,15.6,34.1,66,41.3,47.1,68.6,,,,2024,,,,0.43911578982278,63.6,51.7
Radford,108.78888546852,113.79495704441,0.37346651343781,0–2,0,2,47.5,62,14.3,30.6,15.5,17.7,19.1,44.3,67.7,48.7,66.7,30.2,36.7,9.7,9.2,26,48.5,36.1,40.5,66.9,,,,2024,,,,-0.4331513409371,88.2,78.4
Kansas,112.63571023911,92.904144000611,0.90156994150937,5–5,5,10,51.7,49.4,35.7,27.1,18.8,14.4,21.4,28.7,68,53.3,47.5,32.1,34.5,9.9,8.3,63.8,55.5,31.3,45.6,68.8,,,,2024,,,,2.3636434077735,68.1,68.9
SMU,112.05383333333,95.879,0.85726568878196,0–1,0,1,52.9,46,23.5,21,24.6,14.8,34.4,44.4,60.9,42.9,55.3,50,20.8,7.9,2.9,34.8,26.9,31.4,38.7,63.2,,,,2024,,,,-0.41211264780954,58.3,92.3
Richmond,104.27208333333,96.812,0.70133774556244,0–2,0,2,50.9,49.1,26.3,44.6,15.3,17.5,17.1,34.3,68.5,47.2,50.7,38.1,30.8,4.1,9.7,46,46.9,36.8,34.8,66.3,,,,2024,,,,-0.81101948522031,63.3,82
Providence,109.49177728209,94.439068480734,0.84563761802173,5–7,5,12,47.7,49.7,32.3,29.7,16.8,16.3,26.9,30.3,68.2,47.6,47.9,31.9,35,8,11.7,52.5,48.9,43.6,37.9,68.7,,,,2024,,,,1.503062105223,72.4,76.3
Louisville,109.63979368415,107.79358647936,0.54866931374566,0–7,0,7,46.9,56.2,36.8,31.1,16.5,13.1,24.5,33.2,67.5,50.5,53.1,25.2,40.5,4.7,9.1,40.1,60.5,28.8,40.5,67.8,,,,2024,,,,-2.0281713282043,73.2,75.2
